filename,sr,duration_s,snr_db,kurtosis,spectral_centroid,low_freq_energy_ratio,sample_entropy,autocorr_index,crest_factor
0001652.wav,4000,8.896,inf,46.26128229,337.8443783,0.463565842,0.006271564,0.313793069,17.82785273
0001653.wav,4000,14.8,inf,321.5020843,607.160164,0.189245428,0.009217436,0.48893975,33.65538844
0001654.wav,4000,14.944,inf,130.5680262,481.561825,0.337101269,0.009781945,0.699757729,23.83166151
0001655.wav,4000,13.392,inf,175.1022855,654.0134447,0.111109376,0.008150049,0.530288356,22.68643424
0001656.wav,4000,11.744,inf,191.9500256,317.946906,0.395845831,0.009264907,0.665552684,27.89567184
0001657.wav,4000,15.28,inf,65.47238416,396.083024,0.493405383,0.005552647,0.331320029,18.22466053
0001658.wav,4000,19.792,inf,146.2884786,334.8355375,0.730090422,0.007565134,0.629781394,32.98177277
0001659.wav,4000,18.16,inf,34.26806422,314.514683,0.763117886,0.006493462,0.652418334,17.35022664
0001660.wav,4000,19.904,inf,370.1201568,465.9445109,0.589468629,0.011848101,0.699955187,52.96311794
0001661.wav,4000,20.992,inf,388.0385624,761.0226248,0.363601536,0.001641895,0.36156153,44.89434073
0001662.wav,4000,20.256,inf,387.4868019,522.3934164,0.383141509,0.010645458,0.628242275,51.11192661
0001663.wav,4000,19.696,inf,754.8282066,647.8663063,0.478033514,0.008452203,0.619801917,64.68166293
0001664.wav,4000,14.496,inf,57.18078172,381.0277068,0.238288468,0.013828048,0.693956102,18.3111696
0001665.wav,4000,18.688,inf,58.47416667,403.6404683,0.347126562,0.018425472,0.732847903,24.1456342
0001666.wav,4000,12.192,inf,46.67918483,335.9481323,0.671530275,0.011269199,0.525190707,23.22711233
0001667.wav,4000,23.68,inf,325.4020595,378.9219829,0.333614252,0.008120634,0.475629684,35.77205757
0001668.wav,4000,12.896,inf,213.5175871,426.0062024,0.423489619,0.006754662,0.394664505,29.21887105
0001669.wav,4000,11.296,inf,177.1821506,383.1795299,0.321189805,0.006399291,0.411541261,23.94513253
0001670.wav,4000,11.296,inf,90.53591749,364.3039686,0.356360892,0.010658634,0.55040707,26.53587725
0001671.wav,4000,19.088,inf,47.96415388,365.7201002,0.445034935,0.006188769,0.573918195,18.1131679
0001672.wav,4000,18.192,inf,73.52072998,399.8118203,0.042729064,0.001695235,0.183435082,12.49513684
0001673.wav,4000,10.992,inf,16.40642173,394.6859068,0.190959028,0.003540533,0.584767095,10.65203321
0001674.wav,4000,19.744,inf,46.14344851,584.6367869,0.03840497,0.003436162,0.245135302,12.71061558
0001675.wav,4000,21.488,inf,57.85348824,518.8279866,0.27167466,0.003192694,0.339439855,21.27647223
0001676.wav,4000,29.952,inf,104.5138641,562.1140036,0.094254266,0.003568929,0.298863392,18.14595479
0001677.wav,4000,11.888,inf,126.2231244,483.0023012,0.080422436,0.003243059,0.162872315,16.28795083
0001678.wav,4000,32.192,inf,249.074744,536.0774247,0.078746314,0.003248964,0.163948992,22.9833031
0001679.wav,4000,13.392,inf,104.1709746,390.0765677,0.664950937,0.010948741,0.666599462,31.5325514
0001680.wav,4000,19.152,inf,194.8898514,542.3746612,0.523437657,0.009069563,0.690355427,34.30773862
0001681.wav,4000,21.184,inf,85.63614116,557.5896535,0.076129811,0.002659742,0.246924626,17.40738473
0001682.wav,4000,20.48,inf,108.8759923,635.2142708,0.067371469,0.003771225,0.372161514,17.41574142
0001683.wav,4000,21.744,inf,221.0009773,462.3883815,0.205861316,0.008670276,0.483617188,33.53782079
0001684.wav,4000,29.552,inf,132.5939289,500.6953588,0.111416052,0.004205354,0.270116935,21.70542646
0001685.wav,4000,20.352,inf,63.56429951,403.1240731,0.416058015,0.014410347,0.657404988,27.30073586
0001686.wav,4000,20.752,inf,196.2397362,527.3863774,0.429229476,0.009064917,0.696876233,40.19403079
0001687.wav,4000,21.792,inf,15.98312952,352.8333785,0.334176233,0.009016012,0.820396541,18.39615196
0001688.wav,4000,20.08,inf,49.23136209,411.8990652,0.605450822,0.008565119,0.726051602,20.40461304
0001689.wav,4000,20.752,inf,42.69003268,470.6769409,0.182811657,0.004146447,0.374182948,10.23692443
0001690.wav,4000,20.512,inf,24.296536,502.1726253,0.028236045,0.005739623,0.445026974,7.314129497
0001691.wav,4000,18.784,inf,42.11212499,372.8302204,0.444862139,0.016704217,0.764022381,19.26761018
0001692.wav,4000,21.888,inf,69.02194666,451.3453797,0.390746924,0.014153692,0.671571374,26.01021592
0001693.wav,4000,21.088,inf,73.5120481,413.1668595,0.476225394,0.010337048,0.526111641,21.63872078
0001694.wav,4000,21.488,inf,56.52050704,515.625724,0.373696271,0.00821121,0.618696902,19.94267845
0001695.wav,4000,20.992,inf,23.86312868,368.656786,0.654313871,0.009497645,0.697140706,13.40374058
